Contract Count,ID,LGA,Population,TargetedGroup,Service,Agency,Indigenous,SEIFA,Year
1,19090-02,Hornsby,168614,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,93,Y 2012
1,19090-02,Hunters Hill,14689,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,95,Y 2012
1,19090-02,Ku-Ring-Gai,120978,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,100,Y 2012
1,19090-02,Lane Cove,34807,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,99,Y 2012
1,19090-02,Manly,44786,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,96,Y 2012
1,19090-02,Mosman,30276,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,99,Y 2012
1,19090-02,North Sydney,71025,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,97,Y 2012
1,19090-02,Pittwater,63338,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,95,Y 2012
1,19090-02,Ryde,114598,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,89,Y 2012
1,19090-02,Warringah,155289,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,91,Y 2012
1,19090-02,Willoughby,74166,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,94,Y 2012
1,19092-02,Kiama,21314,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,84,Y 2012
1,19092-02,Shellharbour,68762,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,53,Y 2012
1,19092-02,Shoalhaven,99016,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,41,Y 2012
1,19092-02,Wollongong,206794,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,65,Y 2012
1,19093-02,Albury,51082,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,57,Y 2012
1,19093-02,Berrigan,8413,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,32,Y 2012
1,19093-02,Bland,5994,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,51,Y 2012
1,19093-02,Carrathool,2795,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,50,Y 2012
1,19093-02,Conargo,1535,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,82,Y 2012
1,19093-02,Coolamon,4308,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,52,Y 2012
1,19093-02,Cootamundra,7749,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,21,Y 2012
1,19093-02,Corowa,11455,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,38,Y 2012
1,19093-02,Deniliquin,7437,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,21,Y 2012
1,19093-02,Greater Hume,10258,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,63,Y 2012
1,19093-02,Griffith,25811,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,48,Y 2012
1,19093-02,Gundagai,3755,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,42,Y 2012
1,19093-02,Hay,2989,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,14,Y 2012
1,19093-02,Jerilderie,1519,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,66,Y 2012
1,19093-02,Junee,6297,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,23,Y 2012
1,19093-02,Leeton,11595,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,33,Y 2012
1,19093-02,Lockhart,3080,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,67,Y 2012
1,19093-02,Murray,7466,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,56,Y 2012
1,19093-02,Murrumbidgee,2528,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,17,Y 2012
1,19093-02,Narrandera,5961,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,12,Y 2012
1,19093-02,Temora,6050,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,30,Y 2012
1,19093-02,Tumbarumba,3578,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,39,Y 2012
1,19093-02,Tumut,11375,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,27,Y 2012
1,19093-02,Urana,1147,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,20,Y 2012
1,19093-02,Wagga Wagga,62799,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,71,Y 2012
1,19093-02,Wakool,3990,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,54,Y 2012
1,19094-02,Armidale Dumaresq,25327,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,67,Y 2012
1,19094-02,Glen Innes Severn,8966,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,13,Y 2012
1,19094-02,Gunnedah,12826,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,28,Y 2012
1,19094-02,Guyra,4619,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,18,Y 2012
1,19094-02,Gwydir,5080,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,25,Y 2012
1,19094-02,Inverell,16846,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,12,Y 2012
1,19094-02,Liverpool Plains,7819,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,13,Y 2012
1,19094-02,Moree Plains,14092,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,15,Y 2012
1,19094-02,Narrabri,13764,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,36,Y 2012
1,19094-02,Tamworth,60495,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,45,Y 2012
1,19094-02,Tenterfield,6980,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,10,Y 2012
1,19094-02,Uralla,6408,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,62,Y 2012
1,19094-02,Walcha,3098,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,55,Y 2012
1,19095-02,Bega Valley,33468,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,47,Y 2012
1,19095-02,Bombala,2422,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,30,Y 2012
1,19095-02,Boorowa,2602,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,49,Y 2012
1,19095-02,Cooma-Monaro,10216,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,62,Y 2012
1,19095-02,Eurobodalla,37643,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,35,Y 2012
1,19095-02,Goulburn Mulwaree,29376,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,40,Y 2012
1,19095-02,Harden,3751,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,23,Y 2012
1,19095-02,Palerang,15510,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,91,Y 2012
1,19095-02,Queanbeyan,40858,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,86,Y 2012
1,19095-02,Snowy River,8069,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,80,Y 2012
1,19095-02,Upper Lachlan,7761,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,74,Y 2012
1,19095-02,Yass Valley,16433,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,88,Y 2012
1,19095-02,Young,12641,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,28,Y 2012
1,19099-02,Auburn,85446,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,41,Y 2012
1,19099-02,Blacktown,332424,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,61,Y 2012
1,19099-02,Holroyd,111100,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,60,Y 2012
1,19099-02,Parramatta,189932,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,73,Y 2012
1,19099-02,The Hills,187703,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,97,Y 2012
1,19100-02,Blue Mountains,79688,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,82,Y 2012
1,19100-02,Hawkesbury,65527,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,77,Y 2012
1,19100-02,Lithgow,21249,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,15,Y 2012
1,19100-02,Penrith,194134,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,71,Y 2012
1,19103-02,Ashfield,44498,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,80,Y 2012
1,19103-02,Burwood,36053,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,79,Y 2012
1,19103-02,Canada Bay,87480,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,90,Y 2012
1,19103-02,Canterbury,150626,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,34,Y 2012
1,19103-02,Leichhardt,58136,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,93,Y 2012
1,19103-02,Marrickville,83356,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,83,Y 2012
1,19103-02,Strathfield,39481,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,84,Y 2012
1,19104-02,Ballina,41644,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,65,Y 2012
1,19104-02,Byron,32119,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,64,Y 2012
1,19104-02,Clarence Valley,51003,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,9,Y 2012
1,19104-02,Kyogle,9531,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,8,Y 2012
1,19104-02,Lismore,44629,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,43,Y 2012
1,19104-02,Richmond Valley,22983,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,5,Y 2012
1,19104-02,Tweed,91210,214 Families (aged or disability care),A07.1 Service support and development,FACS,Non Indigenous,45,Y 2012
1,19113-02,Blue Mountains,79688,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,82,Y 2012
1,19113-02,Hawkesbury,65527,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,77,Y 2012
1,19113-02,Lithgow,21249,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,15,Y 2012
1,19113-02,Penrith,194134,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,71,Y 2012
1,19685-02,Ashfield,44498,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,80,Y 2012
1,19685-02,Burwood,36053,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,79,Y 2012
1,19685-02,Canada Bay,87480,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,90,Y 2012
1,19685-02,Canterbury,150626,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,34,Y 2012
1,19685-02,Leichhardt,58136,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,93,Y 2012
1,19685-02,Marrickville,83356,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,83,Y 2012
1,19685-02,Strathfield,39481,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,84,Y 2012
1,20363-02,Ballina,41644,360 Daily living assistance (multiple needs),A07.2. Community/group devel. & support,FACS,Non Indigenous,65,Y 2012
1,20363-02,Byron,32119,360 Daily living assistance (multiple needs),A07.2. Community/group devel. & support,FACS,Non Indigenous,64,Y 2012
1,20363-02,Clarence Valley,51003,360 Daily living assistance (multiple needs),A07.2. Community/group devel. & support,FACS,Non Indigenous,9,Y 2012
1,20363-02,Kyogle,9531,360 Daily living assistance (multiple needs),A07.2. Community/group devel. & support,FACS,Non Indigenous,8,Y 2012
1,20363-02,Lismore,44629,360 Daily living assistance (multiple needs),A07.2. Community/group devel. & support,FACS,Non Indigenous,43,Y 2012
1,20363-02,Richmond Valley,22983,360 Daily living assistance (multiple needs),A07.2. Community/group devel. & support,FACS,Non Indigenous,5,Y 2012
1,20363-02,Tweed,91210,360 Daily living assistance (multiple needs),A07.2. Community/group devel. & support,FACS,Non Indigenous,45,Y 2012
1,22439-04,Blue Mountains,79688,366 Assistance with work (disabilities),A01.3 Community living support,FACS,Non Indigenous,82,Y 2012
1,22439-04,Hawkesbury,65527,366 Assistance with work (disabilities),A01.3 Community living support,FACS,Non Indigenous,77,Y 2012
1,22439-04,Lithgow,21249,366 Assistance with work (disabilities),A01.3 Community living support,FACS,Non Indigenous,15,Y 2012
1,22439-04,Penrith,194134,366 Assistance with work (disabilities),A01.3 Community living support,FACS,Non Indigenous,71,Y 2012
1,25091-02,Auburn,85446,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,41,Y 2012
1,25091-02,Blacktown,332424,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,61,Y 2012
1,25091-02,Holroyd,111100,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,60,Y 2012
1,25091-02,Parramatta,189932,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,73,Y 2012
1,25091-02,The Hills,187703,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,97,Y 2012
1,25106-02,Botany Bay,44742,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Indigenous,69,Y 2012
1,25106-02,Hurstville,85886,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Indigenous,78,Y 2012
1,25106-02,Kogarah,61030,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Indigenous,86,Y 2012
1,25106-02,Randwick,143776,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Indigenous,88,Y 2012
1,25106-02,Rockdale,108072,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Indigenous,75,Y 2012
1,25106-02,Sutherland,225070,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Indigenous,89,Y 2012
1,25106-02,Sydney City,198331,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Indigenous,85,Y 2012
1,25106-02,Waverley,71769,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Indigenous,92,Y 2012
1,25106-02,Woollahra,58619,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Indigenous,98,Y 2012
1,25166-02,Bankstown,200357,360 Daily living assistance (multiple needs),"A01.1 Information, advice & referral",FACS,Indigenous,44,Y 2012
1,25166-02,Camden,67084,360 Daily living assistance (multiple needs),"A01.1 Information, advice & referral",FACS,Indigenous,87,Y 2012
1,25166-02,Campbelltown,156572,360 Daily living assistance (multiple needs),"A01.1 Information, advice & referral",FACS,Indigenous,38,Y 2012
1,25166-02,Fairfield,203109,360 Daily living assistance (multiple needs),"A01.1 Information, advice & referral",FACS,Indigenous,4,Y 2012
1,25166-02,Liverpool,199928,360 Daily living assistance (multiple needs),"A01.1 Information, advice & referral",FACS,Indigenous,58,Y 2012
1,25166-02,Wingecarribee,47584,360 Daily living assistance (multiple needs),"A01.1 Information, advice & referral",FACS,Indigenous,78,Y 2012
1,25166-02,Wollondilly,47084,360 Daily living assistance (multiple needs),"A01.1 Information, advice & referral",FACS,Indigenous,81,Y 2012
1,25378-02,Kiama,21314,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,84,Y 2012
1,25378-02,Shellharbour,68762,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,53,Y 2012
1,25378-02,Shoalhaven,99016,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,41,Y 2012
1,25378-02,Wollongong,206794,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,65,Y 2012
1,25462-02,Hornsby,168614,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,93,Y 2012
1,25462-02,Hunters Hill,14689,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,95,Y 2012
1,25462-02,Ku-Ring-Gai,120978,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,100,Y 2012
1,25462-02,Lane Cove,34807,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,99,Y 2012
1,25462-02,Manly,44786,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,96,Y 2012
1,25462-02,Mosman,30276,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,99,Y 2012
1,25462-02,North Sydney,71025,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,97,Y 2012
1,25462-02,Pittwater,63338,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,95,Y 2012
1,25462-02,Ryde,114598,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,89,Y 2012
1,25462-02,Warringah,155289,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,91,Y 2012
1,25462-02,Willoughby,74166,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,94,Y 2012
1,25526-02,Bega Valley,33468,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,47,Y 2012
1,25526-02,Bombala,2422,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,30,Y 2012
1,25526-02,Boorowa,2602,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,49,Y 2012
1,25526-02,Cooma-Monaro,10216,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,62,Y 2012
1,25526-02,Eurobodalla,37643,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,35,Y 2012
1,25526-02,Goulburn Mulwaree,29376,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,40,Y 2012
1,25526-02,Harden,3751,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,23,Y 2012
1,25526-02,Palerang,15510,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,91,Y 2012
1,25526-02,Queanbeyan,40858,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,86,Y 2012
1,25526-02,Snowy River,8069,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,80,Y 2012
1,25526-02,Upper Lachlan,7761,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,74,Y 2012
1,25526-02,Yass Valley,16433,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,88,Y 2012
1,25526-02,Young,12641,3893 Other needs (correctional interven.),A05.2 Residential care (disabilities),FACS,Non Indigenous,28,Y 2012
1,25559-02,Kiama,21314,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Indigenous,84,Y 2012
1,25559-02,Shellharbour,68762,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Indigenous,53,Y 2012
1,25559-02,Shoalhaven,99016,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Indigenous,41,Y 2012
1,25559-02,Wollongong,206794,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Indigenous,65,Y 2012
1,25580-02,Bega Valley,33468,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,47,Y 2012
1,25580-02,Bombala,2422,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,30,Y 2012
1,25580-02,Boorowa,2602,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,49,Y 2012
1,25580-02,Cooma-Monaro,10216,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,62,Y 2012
1,25580-02,Eurobodalla,37643,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,35,Y 2012
1,25580-02,Goulburn Mulwaree,29376,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,40,Y 2012
1,25580-02,Harden,3751,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,23,Y 2012
1,25580-02,Palerang,15510,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,91,Y 2012
1,25580-02,Queanbeyan,40858,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,86,Y 2012
1,25580-02,Snowy River,8069,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,80,Y 2012
1,25580-02,Upper Lachlan,7761,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,74,Y 2012
1,25580-02,Yass Valley,16433,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,88,Y 2012
1,25580-02,Young,12641,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,28,Y 2012
1,25641-02,Auburn,85446,360 Daily living assistance (multiple needs),A01.2 Personal support,FACS,Indigenous,41,Y 2012
1,25641-02,Blacktown,332424,360 Daily living assistance (multiple needs),A01.2 Personal support,FACS,Indigenous,61,Y 2012
1,25641-02,Holroyd,111100,360 Daily living assistance (multiple needs),A01.2 Personal support,FACS,Indigenous,60,Y 2012
1,25641-02,Parramatta,189932,360 Daily living assistance (multiple needs),A01.2 Personal support,FACS,Indigenous,73,Y 2012
1,25641-02,The Hills,187703,360 Daily living assistance (multiple needs),A01.2 Personal support,FACS,Indigenous,97,Y 2012
1,25669-02,Blue Mountains,79688,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Indigenous,82,Y 2012
1,25669-02,Hawkesbury,65527,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Indigenous,77,Y 2012
1,25669-02,Lithgow,21249,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Indigenous,15,Y 2012
1,25669-02,Penrith,194134,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Indigenous,71,Y 2012
1,26162-03,Bathurst,41682,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,68,Y 2012
1,26162-03,Blayney,7409,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,60,Y 2012
1,26162-03,Cabonne,13776,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,73,Y 2012
1,26162-03,Cowra,12574,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,16,Y 2012
1,26162-03,Forbes,9759,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,29,Y 2012
1,26162-03,Lachlan,6775,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,26,Y 2012
1,26162-03,Oberon,5327,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,52,Y 2012
1,26162-03,Orange,41431,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,59,Y 2012
1,26162-03,Parkes,15217,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,24,Y 2012
1,26162-03,Weddin,3709,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,34,Y 2012
1,26236-02,Botany Bay,44742,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,69,Y 2012
1,26236-02,Hurstville,85886,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,78,Y 2012
1,26236-02,Kogarah,61030,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,86,Y 2012
1,26236-02,Randwick,143776,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,88,Y 2012
1,26236-02,Rockdale,108072,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,75,Y 2012
1,26236-02,Sutherland,225070,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,89,Y 2012
1,26236-02,Sydney City,198331,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,85,Y 2012
1,26236-02,Waverley,71769,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,92,Y 2012
1,26236-02,Woollahra,58619,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,98,Y 2012
1,26239-02,Ashfield,44498,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,80,Y 2012
1,26239-02,Burwood,36053,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,79,Y 2012
1,26239-02,Canada Bay,87480,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,90,Y 2012
1,26239-02,Canterbury,150626,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,34,Y 2012
1,26239-02,Leichhardt,58136,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,93,Y 2012
1,26239-02,Marrickville,83356,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,83,Y 2012
1,26239-02,Strathfield,39481,360 Daily living assistance (multiple needs),A07.9 Service & community dev. (general),FACS,Indigenous,84,Y 2012
1,26267-02,Blue Mountains,79688,360 Daily living assistance (multiple needs),A04.2 Material assistance,FACS,Non Indigenous,82,Y 2012
1,26267-02,Hawkesbury,65527,360 Daily living assistance (multiple needs),A04.2 Material assistance,FACS,Non Indigenous,77,Y 2012
1,26267-02,Lithgow,21249,360 Daily living assistance (multiple needs),A04.2 Material assistance,FACS,Non Indigenous,15,Y 2012
1,26267-02,Penrith,194134,360 Daily living assistance (multiple needs),A04.2 Material assistance,FACS,Non Indigenous,71,Y 2012
1,26392-03,Albury,51082,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,57,Y 2012
1,26392-03,Berrigan,8413,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,32,Y 2012
1,26392-03,Bland,5994,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,51,Y 2012
1,26392-03,Carrathool,2795,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,50,Y 2012
1,26392-03,Conargo,1535,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,82,Y 2012
1,26392-03,Coolamon,4308,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,52,Y 2012
1,26392-03,Cootamundra,7749,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,21,Y 2012
